timestamp,node_id,short_name,long_name,node_latitude,node_longitude,node_altitude,rssi,snr,hw_model,our_latitude,our_longitude,our_altitude
2025-10-24T13:20:11.195097,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3894,-71.2028,110.0
2025-10-24T13:20:11.195214,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3894,-71.2028,110.0
2025-10-24T13:20:11.195274,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,49,,-10,T_DECK,42.3894,-71.2028,110.0
2025-10-24T13:20:11.195320,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3894,-71.2028,110.0
2025-10-24T13:20:11.195362,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3894,-71.2028,110.0
2025-10-24T13:20:24.192634,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,55,,-14,T_DECK,42.3894,-71.2028,110.0
2025-10-24T13:20:24.192853,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3894,-71.2028,110.0
2025-10-24T13:20:24.192922,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3894,-71.2028,110.0
2025-10-24T13:20:24.192967,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3894,-71.2028,110.0
2025-10-24T13:20:24.193009,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3894,-71.2028,110.0
2025-10-24T13:20:37.483283,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,55,,-14,T_DECK,42.3895,-71.2028,91.0
2025-10-24T13:20:37.483398,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2028,91.0
2025-10-24T13:20:37.483451,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3895,-71.2028,91.0
2025-10-24T13:20:37.483495,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3895,-71.2028,91.0
2025-10-24T13:20:37.483537,!9a65e5e0,e5e0,Meshtastic e5e0,,,,,6,RAK4631,42.3895,-71.2028,91.0
2025-10-24T13:20:50.725807,!ba6ca858,DDM,DDM T-Deck +,42.3887,-71.2245,55,,-14,T_DECK,42.3895,-71.2028,91.0
2025-10-24T13:20:50.725922,!d80df984,f984,Meshtastic f984,42.3887,-71.1721,53,,-17,SEEED_WIO_TRACKER_L1,42.3895,-71.2028,91.0
2025-10-24T13:20:50.725977,!433e3a5c,ASSM,BadAssam,42.3523,-71.0671,,,-13,HELTEC_V3,42.3895,-71.2028,91.0
2025-10-24T13:20:50.726021,!a2eb5300,JETw,juliatuttle work,,,,,-18,STATION_G2,42.3895,-71.2028,91.0
